id,smiles
01,O=C(NCC1=CC=CC=C1)C2=CN(CCCCC)C3=CC=CC=C32
02,O=C(NCC1=CC=CC=C1)C2=CN(CCCCCF)C3=CC=CC=C32
03,O=C(NCC1=CC=CC=C1)C2=CN(CC3=CC=C(F)C=C3)C4=CC=CC=C42
04,O=C(NCC1=CC=CC=C1)C2=CN(CC3CCCCC3)C4=CC=CC=C42
05,O=C(N[C@@H](C)C1=CC=CC=C1)C2=CN(CCCCC)C3=CC=CC=C32
06,O=C(N[C@@H](C)C1=CC=CC=C1)C2=CN(CCCCCF)C3=CC=CC=C32
07,O=C(N[C@@H](C)C1=CC=CC=C1)C2=CN(CC3=CC=C(F)C=C3)C4=CC=CC=C42
08,O=C(N[C@@H](C)C1=CC=CC=C1)C2=CN(CC3CCCCC3)C4=CC=CC=C42
09,O=C(N[C@H](C)C1=CC=CC=C1)C2=CN(CCCCC)C3=CC=CC=C32
10,O=C(N[C@H](C)C1=CC=CC=C1)C2=CN(CCCCCF)C3=CC=CC=C32
11,O=C(N[C@H](C)C1=CC=CC=C1)C2=CN(CC3=CC=C(F)C=C3)C4=CC=CC=C42
12,O=C(N[C@H](C)C1=CC=CC=C1)C2=CN(CC3CCCCC3)C4=CC=CC=C42
13,O=C(NC(C)(C)C1=CC=CC=C1)C2=CN(CCCCC)C3=CC=CC=C32
14,O=C(NC(C)(C)C1=CC=CC=C1)C2=CN(CCCCCF)C3=CC=CC=C32
15,O=C(NC(C)(C)C1=CC=CC=C1)C2=CN(CC3=CC=C(F)C=C3)C4=CC=CC=C42
16,O=C(NC(C)(C)C1=CC=CC=C1)C2=CN(CC3CCCCC3)C4=CC=CC=C42
